index,article,tags,rating,input_tokens,output_tokens,total_tokens,url
1,"6月17日，我国在酒泉卫星发射中心成功组织实施梦舟载人飞船零高度逃逸飞行试验，标志着我国载人月球探测工程研制工作取得新的重要突破。（新华社发）
参考消息网6月19日报道 据法哈拉斯新闻网6月17日报道，中国正通过太空技术领域的重大进展推进其探月雄心。据中国载人航天工程办公室消息，中国17日成功组织实施梦舟载人飞船零高度逃逸飞行试验，这是其实现航天员登月目标的关键一步。
报道称，此次测试涉及飞船的逃逸塔系统，通过点燃固体火箭发动机使船塔组合体升空。最终，梦舟载人飞船安全返回地面，验证了其系统安全性。这是否意味着这一次中国将先于美国国家航空航天局(NASA)登月？
报道称，中国梦舟载人飞船零高度逃逸飞行试验的成功，标志着其月球探索进程中的一个关键节点，使其有望与NASA的阿耳忒弥斯登月计划展开竞争。
报道称，中国在月球技术领域的进步凸显了太空探索领域的竞争格局，中美两国正力争在未来任务中占据主导地位。
另据印度新闻9直播网站6月17日报道，中国成功进行梦舟载人飞船发射台中止试验。这是在酒泉卫星发射中心进行的零高度逃逸飞行试验。
报道称，这是继1998年神舟载人飞船零高度逃逸飞行试验之后，时隔27年中国再度组织实施这项试验。神舟飞船用于中国空间站乘组人员轮换。
经过重新设计的梦舟载人飞船逃逸发动机正常运行，船塔组合体在固体发动机推进下升空，返回舱与逃逸塔安全分离。在飞行两分钟后，返回舱使用气囊缓冲方式安全着陆于试验落区预定区域。
报道指出，这一安全机制对载人航天至关重要，因为一旦飞行过程中发生故障，它可以使乘员迅速远离危险并安全返回地面。
报道称，此次试验的成功为中国后续载人月球探测任务奠定了重要的技术基础。中国的载人月面着陆器被命名为“揽月”。
由于大气压力的变化，乘组人员的逃逸设备会根据不同的高度进行调整。乘组人员逃逸系统的火箭发动机位于飞船的顶部。梦舟载人飞船系统全面负责逃逸与救生两项任务。
报道称，中国一直在测试其地月空间运输体系各个组成部分，并加强了载人登月计划。（编译/邬眉、马丹）",科技 # 航天 # 探月工程 # 国际竞争,9,1290,17,1307,https://www.cankaoxiaoxi.com/#/detailsPage/tt/8c93bff81ae94492af5dcc7548862be5/1/2025-06-19%2014:12?childrenAlias=undefined
2,"参考消息网6月19日报道 据俄新社6月17日报道，莫斯科旅游委员会主席叶夫根尼·科兹洛夫表示，中国人在莫斯科旅游的日均消费在所有外国游客群体中位居第一，人均单日支出约4.4万卢布(1卢布约合0.09元人民币——本网注)。
科兹洛夫说：“外国游客对城市经济很重要，外国游客人均在莫斯科消费超过20万卢布。而中国人在莫斯科旅游的日均消费位居第一，约为4.4万卢布。”
另据塔斯社6月17日报道，莫斯科旅游委员会主席科兹洛夫说，“莫斯科文化节”6月12日至15日在北京举行，这是莫斯科在海外举办的最大规模文化推介项目。
科兹洛夫说：“莫斯科首次如此大规模地在海外展示自己，而北京是首个举办莫斯科主题文化节的城市。‘莫斯科文化节’举办了150多项活动，还包括丰富的商务项目，这有助于展现多元的莫斯科。与‘莫斯科中国春节文化节’一样，这是俄中友好的又一座桥梁。”
莫斯科旅游委员会发布消息称，6月12日至15日，在北京王府井步行街举办的“莫斯科文化节”吸引了超过280万人次参与。
莫斯科旅游委员会援引莫斯科副市长纳塔利娅·谢尔古宁娜的话说：“共285万人次参与此次文化节。他们聆听现代和古典音乐演出，参加舞蹈课堂，品尝俄罗斯美食，学习制作具有民族特色的玩具和纪念品。”（编译/黎然）
6月16日，人们在俄罗斯莫斯科马涅什广场参观。（新华社发）",#旅游 #国际 #文化,8,910,7,917,https://www.cankaoxiaoxi.com/#/detailsPage/tt/3e7fbba37f6344af912f886051a47038/1/2025-06-19%2013:00?childrenAlias=undefined
3,"参考消息网6月19日报道 据新西兰广播电台网站6月18日报道，新西兰总理克里斯托弗·拉克森18日早间抵达中国，开启他作为总理的首次访华之旅。分析人士说，此访旨在寻求巩固两国关系。
报道称，拉克森将在上海停留大约两天，推销新西兰商品，然后在北京停留一天，与中方举行高层会谈。
报道称，为了帮助他实现这些目标，拉克森带来了旅游部长路易丝·厄普斯顿、少数族裔社区事务部长马克·米切尔以及一个由官员和商界领袖组成的团队。
米切尔在出发前对代表团发表讲话时说，鉴于当前全球巨大的不确定性，本次中国之行非常重要。
厄普斯顿说，新西兰与中国有着“长期而深厚的关系”，但还有很多工作要做。“特别是从旅游和酒店业的角度看，我们有点落后——所以我们需要认真做一些繁重的工作，以确保我们能够重建这些非常深厚的关系，并且确保中国市场知道我们愿意开展业务。”
报道称，这个由28人组成的商业代表团由新西兰航空董事长特蕾丝·沃尔什率领。成员包括恒天然、佳沛、A2牛奶和银蕨农场等企业。同样值得注意的还有教育机构新西兰理工学院、惠灵顿维多利亚大学和UP教育集团，以及奥克兰和克赖斯特彻奇机场。
在启程前接受新西兰广播电台采访时，拉克森用了一系列形容词来描述两国关系：牢固、成熟、复杂、深思熟虑、可预测。
他说：“这是一种重要的关系。在这种关系中，我们还有很多需要建设和发展的东西。”
坎特伯雷大学政治学教授安妮-玛丽·布雷迪告诉记者，拉克森将会利用此次访问强调积极的合作领域，以保护贸易关系。
另据新西兰《邮报》网站6月18日报道，中国官员和官方媒体对新西兰总理拉克森访华表示欢迎，拉克森此行旨在提振低迷的旅游和教育贸易。
报道称，拉克森此次上海之行的重点将是促进贸易发展，之后他将前往北京。
拉克森17日离开奥克兰前接受《邮报》采访时表示，他自上世纪90年代中期以来经常访问中国，“我亲眼目睹了中国的巨大变化”。
他说：“中国取得了令人难以置信的进步。我的意思是，我第一次去的时候，自行车比汽车多得多，而且由于车辆不多，高速公路上很空旷，而现在情况正好相反，对吧？”
拉克森说：“中国是有数千年历史的重要文明古国，它将在未来影响全球事务，无论是在技术贸易领域，还是在国防安全领域，中国都是一个非常重要的国家。”（编译/葛雪蕾、杨新鹏、张琳）
新西兰总理拉克森（美联社）",政治 # 国际 # 贸易,8,1394,11,1405,https://www.cankaoxiaoxi.com/#/detailsPage/tt/eb986fb8148c4d2b878de8738d2fe1e3/1/2025-06-19%2009:14?childrenAlias=undefined
4,"参考消息网6月19日报道 俄罗斯《消息报》网站6月17日刊登题为《中式外交》的文章，作者是达里娅·萨普伦斯卡娅。文章摘编如下：
近年来，中国成功重构了与中亚国家的合作方式：“C5+1”(中亚五国+中国)形式的部长级会议从2020年起开始举办。2023年中国和中亚国家在西安举行首届中国—中亚峰会并签署《西安宣言》后，中国国家主席习近平提出的人类命运共同体理念开始在中亚得到积极推行。第二届中国—中亚峰会17日在哈萨克斯坦举行，它是中亚国家与中国有关合作方向的对话的延续。
本届峰会和习近平主席此次哈萨克斯坦之行一样，都是在世界冲突激化和国际政治局势复杂化的背景下进行的。一些媒体称，中国希望建立一个在未来中美对抗中可以依靠的“忠诚联盟”。但中方始终坚持与中亚和平共处的理念，从峰会上讨论的内容看，核心议程也与此无关。
显然，习近平主席的访问侧重于该地区发展的几个关键要点——能源、运输走廊和数字化。当然，峰会期间签署的文件不会仅限于这三方面，因为与中国合作的机会正变得越来越多。例如，在哈萨克斯坦，不仅传统的中文学习中心纷纷涌现，还成立了不少研究中国现代化、科学和技术转让问题的专门分析机构。换句话说，中方正在各领域积极开展活动以加强协作，而且这些活动也相当富有成效。
对于中亚而言，与中国的经济协作拥有坚实基础。例如，哈萨克斯坦总统托卡耶夫称，“中国在讨论大型经济项目时从不附加政治条件”，而且能快速履行所有协议。对于该地区国家来说，这一论断十分重要，因为它们正在与中方实施众多经济项目。
回到经济问题上，能源对中国很重要。尽管世界经济出现了某种减速，但中国的实力并未减弱，因此市场需求没有下降。有消息称，哈萨克斯坦已与中国电力建设集团在第二届中国—中亚峰会期间签署了协议。
中国对中亚国家基础设施和物流潜力的建设已实施相当长时间。除了共建“一带一路”倡议框架内的项目外，中国还积极吸引中亚参与中巴经济走廊建设。这一战略中的关键项目包括已启动的中吉乌铁路和对跨阿富汗铁路的支持。
所有这些项目不仅能通过促进贸易交流来改变该地区状况，还将成为向世界传播中国理念的支持性力量。（编译/刘洋）",国际 # 政治 # 经济 # 一带一路,8,1290,13,1303,https://www.cankaoxiaoxi.com/#/detailsPage/tt/0d49808c0ebb4ea682a049170d47d680/1/2025-06-19%2009:14?childrenAlias=undefined
5,"参考消息网6月18日报道 美国《纽约时报》网站6月16日刊发题为《这个不是特别可爱的小精灵能让中国变酷吗？》的文章，文章编译如下：
在中国争取赢得全球民心的行动中，其最新武器是一个长着尖牙、兔子耳朵、丑萌丑萌的毛绒玩具。
这个咧着嘴笑的毛绒玩具名叫拉布布，由中国公司制造，已成为全球风潮。
最近几个月，它被美国歌星蕾哈娜和英国退役球星贝克汉姆等名人随身携带；在英国引发了抢购顾客之间的斗殴；在洛杉矶让人们通宵排队。一些狂热粉丝甚至特别为它安排了中国之行，希望能够买到它。
菲律宾博主利安娜·帕特里夏·吉勒莫在视频配文中写道：“我专程飞到中国，只为参观世界上最大的泡泡玛特商店。”泡泡玛特是拉布布的生产商。
人们对拉布布的热情可能像其他流行趋势一样转瞬即逝。但这可能也预示着中国在赢得海外文化影响力方面开始取得一些胜利。
其他获得全球关注的中国产品还包括《黑神话：悟空》这样的游戏；由比亚迪和其他品牌推出的价格实惠、制作精良的电动汽车；中国的人工智能模型DeepSeek已被包括美国和欧洲在内的海外科技公司采用；国外旅游博主纷纷上传自己滔滔不绝讲述上海天际线和成都大熊猫的视频等等。
更多的小众产品，如中国的古装剧等也在吸引海外观众。
中国在增强经济实力的同时，也一直在努力建设自身独具特色的软实力。
在中国国内，这一努力是成功的。许多中国人现在转向本土品牌和中国明星，而不是他们曾经崇拜的西方世界。
此外，有迹象表明，一些外国拉布布迷正在接触其他中国产品。
在美国的红迪网站上，用户们交流着通过全球速卖通等中国电商平台订购玩偶和服饰的经验技巧，并对美国针对中国商品加征关税表示担忧。
30岁的澳大利亚人休·阿夫去年专程赴上海寻找拉布布玩偶，她计划今年晚些时候再到中国旅行。除了探访其他中国城市外，她还打算多买些自己发现的中国品牌服饰。
她表示，她在澳大利亚的朋友们在目睹了拉布布引发的狂热后，“对中国的看法确实变得更加积极了”。
华侨大学研究中国对外传播的黄日涵教授说，中国企业全球影响力的持续扩大本身就是一种软实力的体现。
他指出，像泡泡玛特、腾讯和阿里巴巴这样的公司在全球各地的办公室雇用了不同国籍的员工。（编译/林朝晖）
5月6日，顾客在泰国曼谷的一家泡泡玛特商店中选购拉布布玩偶。（法新社）",社会 # 文化 # 国际 # 娱乐 # 经济,9,1399,18,1417,https://www.cankaoxiaoxi.com/#/detailsPage/tt/329d19f3dfae4b50b524f428cd62637c/1/2025-06-18%2009:46?childrenAlias=undefined
6,"参考消息网6月18日报道 据香港《南华早报》网站6月16日报道，根据美国摩根士丹利公司16日发布的一份研究报告，到2028年，中国机器人市场规模将从2024年的470亿美元增至1080亿美元，年增长率达到23%，这将进一步巩固中国在这一快速发展领域的主导地位。
报道称，这份由摩根士丹利分析师撰写的报告显示，中国去年在全球机器人市场的份额约为40%，但报告未对2028年中国市场份额作出预测。
作者指出：“中国不仅是最大的市场，更堪称世界创新中心，中国正在推动成本效益提升与下一代机器人技术的发展。”
报告说：“机器人持续重塑中国的制造业，未来随着机器人智能化、协作性和性价比的提升，它们还将对社会产生更深远的影响。”
中国国家统计局16日发布的一组数据显示，今年5月份，中国工业机器人产量同比增长35.5%，达到69056台；服务机器人产量增长13.8%，达到约121.6万台。
报道称，机器人技术是“中国制造2025”的重要内容。该计划于10年前启动，旨在推动中国跻身高科技产业前沿，成为全球智能制造领域领军者。
报道指出，中国已在全球机器人领域占据主导地位，去年工业机器人装机量占全球比重超过50%。中国目前拥有74.17万家机器人相关企业，包括优必选、宇树科技、智元等行业龙头。
摩根士丹利预测，无人机将成为中国机器人产业的最大细分领域，市场规模将从2024年的190亿美元增至2028年的400亿美元。
与此同时，中国的人形机器人市场也有望以63%的年增速快速扩张，规模将从今年的3亿美元增至2030年的34亿美元。
摩根士丹利的报告指出，到2030年，中国人形机器人数量将达到25.2万台，2050年预计将增至3.02亿台，占全球人形机器人存量的30%。报告说，今年将成为“人形机器人发展史上的里程碑之年，标志着人形机器人大规模量产的开端”。
报告还说，机器人技术正在持续重塑中国的制造业，除了推动生产力与品质提升，它们还将为未来产业升级奠定基础。（编译/王栋栋）
6月12日晚，机器人模特在天津时装秀上展示时装。（新华社）",科技 # 工业 # 制造业 # 人工智能 # 机器人,9,1270,17,1287,https://www.cankaoxiaoxi.com/#/detailsPage/tt/60d9242a59a1452aa232c042ba948143/1/2025-06-18%2009:42?childrenAlias=undefined
7,"参考消息网6月18日报道 据塔吉克斯坦阿维斯塔通讯社网站6月16日报道，首条连接塔吉克斯坦首都杜尚别与中国首都北京的直飞航线于16日正式开通。
报道称，航线开通仪式16日上午在北京大兴国际机场举行，这一事件开启了塔中两国运输和实业合作发展的重要阶段。
该航线的首飞航班由中国南方航空安排波音787机型飞机执飞。未来该航线计划采用波音737-8型飞机执飞，每周安排两班，时间分别为周二和周六。
塔吉克斯坦政府民航部门负责人哈比布洛·纳扎尔佐达称，这一航线的开通具有历史意义。他强调，这对进一步巩固塔中双边关系和发展两国航空运输十分重要。
纳扎尔佐达说：“这条航线不仅是旅客运输通道，也是我们两国间相互信任、扩大合作和文化交流的象征。”
中国南方航空副总经理曲光吉指出，新航线的开通将架起中国和塔吉克斯坦之间更加便捷的空中桥梁，有力促进双边经贸往来、人文交流和旅游合作，为两国关系发展和区域互联互通注入新的强劲动能。
报道称，首航航班机舱内部以中式风格装饰，搭配刺绣和灯笼等中国传统饰物。机上不仅提供美味餐食，还为旅客组织了有奖问答等娱乐活动。（编译/刘洋）
6月16日，CZ6051航班从北京大兴国际机场起飞。（新华社发）",国际 # 航空运输 # 中塔关系 # 文化交流,8,865,16,881,https://www.cankaoxiaoxi.com/#/detailsPage/tt/2a356f48d0c946e0821e4f475f72f459/1/2025-06-18%2009:33?childrenAlias=undefined
8,"第一关注
中国
国际
观点
锐参考
体育健康
科技应用
文化旅游
参考漫谈
参考智库
军事
民族品牌
参考人物
产经
地方
译名
文娱
我的位置：
首页
>
民族品牌
海尔连续22年跻身中国500最具价值品牌，蝉联前三
2025-06-18 15:52
新华每日电讯探厂实录：海尔合肥工厂解码 “中国质造” 品质内核
2025-06-17 16:46
共赴“青春之约”，吉大音乐节见证红旗品牌年轻化活力
2025-06-13 16:00
夏夜“绘”青春，红旗将携“年轻化家族”亮相吉林大学草地音乐节
新华财经
2025-06-09 11:40
海尔新能源推出行业领先的AI能源机器人，重构分布式新能源场景生态体系
2025-06-12 11:01
茅台亮相2025年日本大阪世博会
2025-06-06 16:39
以时代匠心铸就时代旗舰，尊界S800正式上市
2025-05-31 19:06
“蜀中桃子姐”：保持初心，做良心，做品质，将四川美食传递得更远｜2025世界品牌莫干山大会
2025-05-31 10:49
海尔新能源战略投资星能链公司，致力于以AI重塑分布式新能源行业
2025-05-30 14:17
海尔希望小学举办首届科技节，落成首个科技实验室
泰山财经
2025-05-29 16:57
跟着国家博物馆认识“115件文物里的古代中国”
2025-05-28 16:33
当奶酪""黏""上糯米：伊家好奶酪×五芳斋以""粽""情重构端午味觉记忆
半月谈网
2025-05-26 16:04
康师傅解码文化赋能新消费的美味路径
新华社客户端
2025-05-26 16:04
七度蝉联全球百强唯一物联网生态品牌，海尔品牌价值持续增长
2025-05-16 15:10
中国品牌正在成为新模式、新标准的创造者和引领者
新华社客户端
2025-05-14 18:58
从“一叶兴”到“百业旺” 安溪铁观音入选新华社品牌工程
2025-05-12 12:39
中国品牌 世界共享——与中国品牌日晚会共赴东方匠心之约
2025-05-12 11:54
茅台总经理王莉：以功能、体验、情绪三重价值回应消费者对品牌的新期待
2025-05-10 20:22
2025世界品牌莫干山大会“草坪故事会”在浙江德清举办
2025-05-10 20:22
科技创新擘画品牌进阶新图景——来自2025世界品牌莫干山大会的高端对话
2025-05-10 20:22
从本土突围到全球破圈 嘉宾建言消费品牌发展新路径
2025-05-10 18:54
厚植文化根脉 铸就品牌之魂——与会嘉宾畅谈文化与品牌
2025-05-10 18:54
奋斗者说，一座城市的青春叙事
2025-05-10 17:08
草坪故事会｜张旭：中国品牌是文化传承与世界对话的重要桥梁
2025-05-10 14:23
2025世界品牌莫干山大会｜品牌，让世界更美好
2025-05-10 09:01
草坪故事会｜张旭：中国品牌是文化传承与世界对话的重要桥梁
新华社客户端
2025-05-09 21:41
2025世界品牌莫干山大会｜记者探会：齐聚莫干山！聆听来自全球品牌的声音
新华社客户端
2025-05-09 18:35
倒计时1天，相聚莫干山！
2025-05-09 13:09
走笔莫干山
2025-05-09 09:59
品牌，让世界更美好
2025-05-09 09:57
再聚莫干山：解码品牌引领“中国制造”新征程
2025-05-09 09:55
服装品牌高质量发展论坛于5月11日在德清举办
2025-05-08 14:45
距2025世界品牌莫干山大会开幕还有1天
2025-05-08 08:50
2025世界品牌莫干山大会品牌展将在德清举办
2025-05-07 18:17
免费开放！科技潮玩、机器狗萌宠……品牌嘉年华预约开启
2025-05-07 18:17
距2025世界品牌莫干山大会开幕还有2天
2025-05-07 12:27
距2025世界品牌莫干山大会开幕还有3天
2025-05-06 11:21
洗净210种 海尔洗衣机创立行业污渍洁净新标准
新华社客户端
2025-05-06 11:20
“五一”国际劳动节丨致敬平凡 致敬劳动者
新华网
2025-05-01 15:36
京东宣布将推出2000亿出口转内销扶持计划
2025-04-11 21:31
周云杰：在变局中开新局
2025-04-11 16:38
中国科技力量精彩亮相世界移动通信大会
2025-03-06 09:40
救人！救火！海尔售后师傅化身救火尖兵
2025-03-02 10:49
中国银联大力推进“锦绣行动2025” 畅行锦绣中华 尽享支付无忧
2025-03-02 10:04
卡奥斯再下一城，海尔集团战略入股新时达
2025-02-17 14:52
科技改变生活！海尔国民AI电视帮银发族跨越“数字鸿沟”
2025-01-24 11:24
伊利：以人才发展为核心，培育新时代行业领军力量
2025-01-21 17:37
稳健双增长，创历史最好业绩！海尔2024全球营收超4000亿
2025-01-21 15:08
强烈推荐！看中国智能家电企业如何弥合“数字鸿沟”
2025-01-21 10:12
家属见证，菁英回家 中国乳都实力抢镜
2025-01-19 09:45
点击加载更多
排行榜
外媒分析：以色列为何此时对伊朗“动手”
美国：两场“大戏”即将同时上场！
外媒：伊朗和以色列军队孰强孰弱？
突发！以色列对伊朗发动打击
美媒：美政府取消四国数十万移民合法身份
美媒：中国赢得全球民心的“最新武器”
美媒：印航波音客机坠毁原因何在？
伊朗：“友好”国家已就以色列动武向德黑兰发出警报
西媒：论中国的长远思维与五年规划
针对以色列袭击伊朗，国际社会纷纷发声
站长统计",民族品牌 # 科技创新 # 中国品牌 # 海尔 # 茅台 # 智能家电 # 分布式新能源,8,4073,32,4105,https://www.cankaoxiaoxi.com/#/generalColumns/minzupp
9,"参考消息网6月19日报道 法国《回声报》网站6月16日刊登记者拉斐尔·巴莱涅里撰写的题为《在中国，治理长江污染是一项艰巨浩大的工程》的报道，编译如下：
这是一座依山而建的县城，长江游轮经过这里，在蜿蜒的江水上航行。在这个初夏的美好日子里，巫山码头的游轮载满游客。巫山县这座中国西南部的城镇就坐落在亚洲最长河流长江那壮观的峡谷中。
旁边，几艘颜色鲜亮、样式有些特别的蓝色小船也正等待解缆起航。
自2003年起，巫山便配备了一支由数十艘清漂作业船组成的船队。它们肩负的使命是清理长江，每天出发“捕捞”污染长江的垃圾，包括塑料、树枝、碎木片……每年5月至10月的汛期是最为棘手的阶段，季风带来的暴雨将周边城市和山上的各类垃圾冲入长江。
得益于船上安装的自动过滤系统，该清污工程每年可打捞处理2万余吨垃圾。巫山县为治理其管辖范围内55公里长的长江干流江段，每年投入上百万元人民币的专项资金。
在这项浩大工程启动20年后，巫山县开始收获治理成效。根据中国水质标准体系，长江巫山段干流断面水质已连续8年保持Ⅱ类标准、总磷浓度连续11年下降。
中国拥有1500多条流域面积超过1000平方公里的河流和七大水系。因此治理水污染问题对中国至关重要。据了解，长江流域拥有中国35%的水资源量。超过4亿中国人生活在长达6300公里的长江沿岸。
根据世界自然基金会的数据，长江流域还提供了全国一半以上的淡水鱼和三分之二的水稻产量。
过去40年，快速的城镇化进程和狂飙突进的经济发展等都给长江流域的自然生态系统造成了严重影响。
然而问题远不止于长江。根据2014年《自然》周刊发表的一篇文章，中国全国范围内的水污染每年导致大量水资源无法利用。
在此背景下，中国自新世纪以来不断加大长江治理力度。2002年，中国颁布《中华人民共和国水法》，标志着中国水治理的重要转折。随后在2015年，中国制定阶段性目标：到2020年七大重点流域水质优良(达到或优于Ⅲ类)比例总体达到70%以上，到2030年，全国七大重点流域水质优良比例总体达到75%以上。
为此，中国采取了一系列有力措施：关停沿江污染企业、淘汰老旧燃煤船舶、在全国范围内任命30万名地方官员担任“河长”……2021年，中国还实施了长江干流及主要支流为期十年的生产性捕捞禁令。
巫山县生态环境监测站站长魏嵬表示：“在巫山，长江沿岸5公里范围内禁止任何工业企业入驻。”在宜昌，曾经沿江而建的工厂也已被迁离，原址改建成了公园，如今市民们常在此遛狗、打太极拳。湖北省官员表示，截至2024年，该省已完成470多家沿江化工企业关改搬转工作，并腾退岸线近150公里。
重庆市生态环境局局长余国东表示：“长江干流禁捕后，监测到的鱼类品种增加了47种。”（编译/刘卓）
6月11日，轮船行驶在长江巫山段。（新华社）",环境 # 社会 # 科技,9,1735,10,1745,https://www.cankaoxiaoxi.com/#/detailsPage/zhongguo/34063682f51640c69fc9db0df6869b23/1/2025-06-19%2014:12?childrenAlias=undefined
10,"参考消息网6月19日报道 法国《回声报》网站6月16日刊登记者拉斐尔·巴莱涅里撰写的题为《在中国，治理长江污染是一项艰巨浩大的工程》的报道，编译如下：
这是一座依山而建的县城，长江游轮经过这里，在蜿蜒的江水上航行。在这个初夏的美好日子里，巫山码头的游轮载满游客。巫山县这座中国西南部的城镇就坐落在亚洲最长河流长江那壮观的峡谷中。
旁边，几艘颜色鲜亮、样式有些特别的蓝色小船也正等待解缆起航。
自2003年起，巫山便配备了一支由数十艘清漂作业船组成的船队。它们肩负的使命是清理长江，每天出发“捕捞”污染长江的垃圾，包括塑料、树枝、碎木片……每年5月至10月的汛期是最为棘手的阶段，季风带来的暴雨将周边城市和山上的各类垃圾冲入长江。
得益于船上安装的自动过滤系统，该清污工程每年可打捞处理2万余吨垃圾。巫山县为治理其管辖范围内55公里长的长江干流江段，每年投入上百万元人民币的专项资金。
在这项浩大工程启动20年后，巫山县开始收获治理成效。根据中国水质标准体系，长江巫山段干流断面水质已连续8年保持Ⅱ类标准、总磷浓度连续11年下降。
中国拥有1500多条流域面积超过1000平方公里的河流和七大水系。因此治理水污染问题对中国至关重要。据了解，长江流域拥有中国35%的水资源量。超过4亿中国人生活在长达6300公里的长江沿岸。
根据世界自然基金会的数据，长江流域还提供了全国一半以上的淡水鱼和三分之二的水稻产量。
过去40年，快速的城镇化进程和狂飙突进的经济发展等都给长江流域的自然生态系统造成了严重影响。
然而问题远不止于长江。根据2014年《自然》周刊发表的一篇文章，中国全国范围内的水污染每年导致大量水资源无法利用。
在此背景下，中国自新世纪以来不断加大长江治理力度。2002年，中国颁布《中华人民共和国水法》，标志着中国水治理的重要转折。随后在2015年，中国制定阶段性目标：到2020年七大重点流域水质优良(达到或优于Ⅲ类)比例总体达到70%以上，到2030年，全国七大重点流域水质优良比例总体达到75%以上。
为此，中国采取了一系列有力措施：关停沿江污染企业、淘汰老旧燃煤船舶、在全国范围内任命30万名地方官员担任“河长”……2021年，中国还实施了长江干流及主要支流为期十年的生产性捕捞禁令。
巫山县生态环境监测站站长魏嵬表示：“在巫山，长江沿岸5公里范围内禁止任何工业企业入驻。”在宜昌，曾经沿江而建的工厂也已被迁离，原址改建成了公园，如今市民们常在此遛狗、打太极拳。湖北省官员表示，截至2024年，该省已完成470多家沿江化工企业关改搬转工作，并腾退岸线近150公里。
重庆市生态环境局局长余国东表示：“长江干流禁捕后，监测到的鱼类品种增加了47种。”（编译/刘卓）
6月11日，轮船行驶在长江巫山段。（新华社）",环境 # 社会 # 科技,9,1735,10,1745,https://www.cankaoxiaoxi.com/#/detailsPage/zhongguo/34063682f51640c69fc9db0df6869b23/1/2025-06-19%2014:12?childrenAlias=undefined
